repository,repository_split,transfer_origin,task,task_description,task_claim,variant,family,trial_count,exit_success_rate,accepted_count_mean,rejected_count_mean,accepted_rate_mean,regression_gate_failures_mean,rollback_success_rate,improvement_depth_mean,cost_proxy_seconds_mean,changed_files_count_mean
unseen_schema_transfer_repo,unseen,compact_kernel_repo,unseen_static_roles_query,Measure whether schema-driven generation transfers to a held-out tuple-valued LocalPythonFileRecord field.,Unseen transfer succeeds when the loop patches a query API for a field absent from the original benchmark repositories.,agent_coding_loop,baseline_agent_coding_loop,3,1.0,1.0,0.0,1.0,0.0,,1.0,3.5833333333333335,2.0
unseen_schema_transfer_repo,unseen,compact_kernel_repo,unseen_static_roles_query,Measure whether schema-driven generation transfers to a held-out tuple-valued LocalPythonFileRecord field.,Unseen transfer succeeds when the loop patches a query API for a field absent from the original benchmark repositories.,ci_only_validation,baseline_ci_only,3,1.0,0.0,0.0,0.0,0.0,,0.0,1.7136666666666667,0.0
unseen_schema_transfer_repo,unseen,compact_kernel_repo,unseen_static_roles_query,Measure whether schema-driven generation transfers to a held-out tuple-valued LocalPythonFileRecord field.,Unseen transfer succeeds when the loop patches a query API for a field absent from the original benchmark repositories.,verified_closed_loop,proposed,3,1.0,3.0,0.0,1.0,0.0,,3.0,11.651333333333334,4.0
