repository,repository_split,transfer_origin,task,task_claim,proposed_accepted_rate_mean,proposed_improvement_depth_mean,best_baseline_variant,best_baseline_accepted_rate_mean,best_baseline_improvement_depth_mean,accepted_rate_margin_vs_best_baseline,depth_margin_vs_agent_loop,depth_margin_vs_ci_only,safety_win_over_no_rollback,unsafe_acceptance_seen_without_broad_gate,unseen_transfer_success,outcome
unseen_control_transfer_repo,unseen,compact_kernel_repo,unseen_controller_modes_query,Control-domain unseen transfer succeeds when the loop patches a query API for controller modes absent from the seen fixtures.,1.0,3.0,agent_coding_loop,1.0,1.0,0.0,2.0,3.0,False,False,True,unseen_transfer_success
unseen_schema_transfer_repo,unseen,compact_kernel_repo,unseen_static_roles_query,Unseen transfer succeeds when the loop patches a query API for a field absent from the original benchmark repositories.,1.0,3.0,agent_coding_loop,1.0,1.0,0.0,2.0,3.0,False,False,True,unseen_transfer_success
unseen_science_transfer_repo,unseen,compact_kernel_repo,unseen_evidence_sources_query,Science-domain unseen transfer succeeds when the loop patches a query API for evidence sources absent from the seen fixtures.,1.0,3.0,agent_coding_loop,1.0,1.0,0.0,2.0,3.0,False,False,True,unseen_transfer_success
unseen_security_transfer_repo,unseen,compact_kernel_repo,unseen_threat_labels_query,Security-domain unseen transfer succeeds when the loop patches a query API for threat labels absent from the seen fixtures.,1.0,3.0,agent_coding_loop,1.0,1.0,0.0,2.0,3.0,False,False,True,unseen_transfer_success
