repository,repository_split,transfer_origin,task,task_claim,proposed_accepted_rate_mean,proposed_improvement_depth_mean,best_baseline_variant,best_baseline_accepted_rate_mean,best_baseline_improvement_depth_mean,accepted_rate_margin_vs_best_baseline,depth_margin_vs_agent_loop,depth_margin_vs_ci_only,safety_win_over_no_rollback,unsafe_acceptance_seen_without_broad_gate,unseen_transfer_success,external_transfer_success,external_code_transfer_success,outcome
external_dask_code_transfer_repo,external_code_unseen,dask/dask,external_dask_code_failure_fixture_query,External code transfer succeeds when the loop patches a query API for external_dask_code_signals derived from bounded dask/dask source and failure snippets.,1.0,3.0,agent_coding_loop,1.0,1.0,0.0,2.0,3.0,False,False,False,False,True,external_code_transfer_success
external_hypothesis_code_transfer_repo,external_code_unseen,hypothesisworks/hypothesis,external_hypothesis_code_failure_fixture_query,External code transfer succeeds when the loop patches a query API for external_hypothesis_code_signals derived from bounded hypothesisworks/hypothesis source and failure snippets.,1.0,3.0,agent_coding_loop,1.0,1.0,0.0,2.0,3.0,False,False,False,False,True,external_code_transfer_success
external_pandas_code_transfer_repo,external_code_unseen,pandas-dev/pandas,external_pandas_code_failure_fixture_query,External code transfer succeeds when the loop patches a query API for external_pandas_code_signals derived from bounded pandas-dev/pandas source and failure snippets.,1.0,3.0,agent_coding_loop,1.0,1.0,0.0,2.0,3.0,False,False,False,False,True,external_code_transfer_success
external_requests_code_transfer_repo,external_code_unseen,psf/requests,external_requests_code_failure_fixture_query,External code transfer succeeds when the loop patches a query API for external_requests_code_signals derived from bounded psf/requests source and failure snippets.,1.0,3.0,agent_coding_loop,1.0,1.0,0.0,2.0,3.0,False,False,False,False,True,external_code_transfer_success
