repository,repository_split,transfer_origin,task,task_description,task_claim,variant,family,trial_count,exit_success_rate,accepted_count_mean,rejected_count_mean,accepted_rate_mean,accepted_rate_variance,accepted_rate_ci_lower,accepted_rate_ci_upper,regression_gate_failures_mean,rollback_success_rate,improvement_depth_mean,improvement_depth_variance,improvement_depth_ci_lower,improvement_depth_ci_upper,cost_proxy_seconds_mean,changed_files_count_mean,capability_delta_score_mean,solved_new_tasks_mean,hidden_transfer_mean,operator_reuse_mean,failure_residue_count_mean,quarantine_exploration_count_mean,quarantine_failure_residue_count_mean,full_test_required,comparable_to_verified_config,seed_registry,full_test_success_rate,full_test_command
external_requests_code_transfer_repo,external_code_unseen,psf/requests,external_requests_code_failure_fixture_query,Measure transfer on a sandbox fixture extracted from actual psf/requests source snippets and issue failure excerpts.,External code transfer succeeds when the loop repairs a local executable failure target derived from bounded psf/requests source and failure snippets.,agent_coding_loop,baseline_agent_coding_loop,20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6767500000000001,0.0,0.44899999999999995,0.0,0.0,2.0,1.0,0.0,0.0,True,True,"29ff353d7c9d,9f1ffffe6561,7680e285e99a,f8232f1d0ef2,75eb932b5bc8,b264c9c0f054,8ea41c417fbd,433ff73aab11,2ef415011285,dbe4c89bed8c,9097e88ee290,20897d8188ad,017cc10d455c,18e5cd64ae44,c55e5c44e742,b48e3091e9dd,8c0a1a350603,9bc27538d03a,281f210d81e5,300df60f5f0d",0.0,python -m pytest -q
external_requests_code_transfer_repo,external_code_unseen,psf/requests,external_requests_code_failure_fixture_query,Measure transfer on a sandbox fixture extracted from actual psf/requests source snippets and issue failure excerpts.,External code transfer succeeds when the loop repairs a local executable failure target derived from bounded psf/requests source and failure snippets.,ci_only_validation,baseline_ci_only,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,"29ff353d7c9d,9f1ffffe6561,7680e285e99a,f8232f1d0ef2,75eb932b5bc8,b264c9c0f054,8ea41c417fbd,433ff73aab11,2ef415011285,dbe4c89bed8c,9097e88ee290,20897d8188ad,017cc10d455c,18e5cd64ae44,c55e5c44e742,b48e3091e9dd,8c0a1a350603,9bc27538d03a,281f210d81e5,300df60f5f0d",0.0,python -m pytest -q
external_requests_code_transfer_repo,external_code_unseen,psf/requests,external_requests_code_failure_fixture_query,Measure transfer on a sandbox fixture extracted from actual psf/requests source snippets and issue failure excerpts.,External code transfer succeeds when the loop repairs a local executable failure target derived from bounded psf/requests source and failure snippets.,evolutionary_repair_loop,baseline_evolutionary_repair_loop,20,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.855,0.0,1.3470000000000004,0.0,0.0,6.0,3.0,0.0,0.0,True,True,"29ff353d7c9d,9f1ffffe6561,7680e285e99a,f8232f1d0ef2,75eb932b5bc8,b264c9c0f054,8ea41c417fbd,433ff73aab11,2ef415011285,dbe4c89bed8c,9097e88ee290,20897d8188ad,017cc10d455c,18e5cd64ae44,c55e5c44e742,b48e3091e9dd,8c0a1a350603,9bc27538d03a,281f210d81e5,300df60f5f0d",0.0,python -m pytest -q
external_requests_code_transfer_repo,external_code_unseen,psf/requests,external_requests_code_failure_fixture_query,Measure transfer on a sandbox fixture extracted from actual psf/requests source snippets and issue failure excerpts.,External code transfer succeeds when the loop repairs a local executable failure target derived from bounded psf/requests source and failure snippets.,verified_closed_loop,proposed,20,1.0,1.8,1.75,0.4725,0.16801973684210528,0.29,0.63,0.0,1.0,1.8,2.2736842105263158,1.2,2.4,6.183249999999999,3.0,1.5921500000000002,0.0,0.0,7.1,1.75,3.6,2.0,True,True,"29ff353d7c9d,9f1ffffe6561,7680e285e99a,f8232f1d0ef2,75eb932b5bc8,b264c9c0f054,8ea41c417fbd,433ff73aab11,2ef415011285,dbe4c89bed8c,9097e88ee290,20897d8188ad,017cc10d455c,18e5cd64ae44,c55e5c44e742,b48e3091e9dd,8c0a1a350603,9bc27538d03a,281f210d81e5,300df60f5f0d",1.0,python -m pytest -q
