repository,repository_split,transfer_origin,task,task_claim,proposed_accepted_rate_mean,proposed_improvement_depth_mean,best_baseline_variant,best_baseline_accepted_rate_mean,best_baseline_improvement_depth_mean,accepted_rate_margin_vs_best_baseline,depth_margin_vs_agent_loop,depth_margin_vs_ci_only,safety_win_over_no_rollback,unsafe_acceptance_seen_without_broad_gate,unseen_transfer_success,external_transfer_success,outcome
compact_kernel_repo,seen,,forced_broad_regression,,0.0,0.0,evolutionary_repair_loop,1.0,2.0,-1.0,0.0,0.0,True,True,False,False,safety_win_over_ablation
compact_kernel_repo,seen,,local_corpus_queries_clean,,1.0,2.0,evolutionary_repair_loop,1.0,2.0,0.0,1.0,2.0,False,False,False,False,depth_win_over_single_pass
compact_kernel_repo,seen,,policy_registry_self_patch,,1.0,1.0,evolutionary_repair_loop,1.0,1.0,0.0,0.0,1.0,False,False,False,False,tie_or_frontier_match
omega_full_repo,seen,,forced_broad_regression,,0.0,0.0,evolutionary_repair_loop,1.0,2.0,-1.0,0.0,0.0,True,True,False,False,safety_win_over_ablation
omega_full_repo,seen,,local_corpus_queries_clean,,1.0,2.0,evolutionary_repair_loop,1.0,2.0,0.0,1.0,2.0,False,False,False,False,depth_win_over_single_pass
omega_full_repo,seen,,policy_registry_self_patch,,1.0,1.0,evolutionary_repair_loop,1.0,1.0,0.0,0.0,1.0,False,False,False,False,tie_or_frontier_match
