repository,repository_split,transfer_origin,task,task_claim,proposed_accepted_rate_mean,proposed_improvement_depth_mean,best_baseline_variant,best_baseline_accepted_rate_mean,best_baseline_improvement_depth_mean,accepted_rate_margin_vs_best_baseline,depth_margin_vs_agent_loop,depth_margin_vs_ci_only,safety_win_over_no_rollback,unsafe_acceptance_seen_without_broad_gate,unseen_transfer_success,external_transfer_success,outcome
external_dask_issue_transfer_repo,external_unseen,dask/dask,external_dask_array_labels_query,External transfer succeeds when the loop patches a query API for external_array_labels extracted from dask/dask issue metadata.,1.0,3.0,agent_coding_loop,1.0,1.0,0.0,2.0,3.0,False,False,False,True,external_transfer_success
external_hypothesis_issue_transfer_repo,external_unseen,hypothesisworks/hypothesis,external_hypothesis_patch_signals_query,External transfer succeeds when the loop patches a query API for external_patch_signals extracted from hypothesisworks/hypothesis issue metadata.,1.0,3.0,agent_coding_loop,1.0,1.0,0.0,2.0,3.0,False,False,False,True,external_transfer_success
external_pandas_issue_transfer_repo,external_unseen,pandas-dev/pandas,external_pandas_failure_terms_query,External transfer succeeds when the loop patches a query API for external_failure_terms extracted from pandas-dev/pandas issue metadata.,1.0,3.0,agent_coding_loop,1.0,1.0,0.0,2.0,3.0,False,False,False,True,external_transfer_success
external_requests_issue_transfer_repo,external_unseen,psf/requests,external_requests_issue_labels_query,External transfer succeeds when the loop patches a query API for external_issue_labels extracted from psf/requests issue metadata.,1.0,3.0,agent_coding_loop,1.0,1.0,0.0,2.0,3.0,False,False,False,True,external_transfer_success
